1 2 
12.891 0 1 
6.1723 0 1 
2.4744 1 0 
7.0207 1 0 
13.631 0 1 
2.3941 0 1 
1.1325 1 0 
4.7473 1 0 
16.149 0 1 
1.6881 0 1 
-2.8663 0 1 
-10.069 1 0 
-10.058 1 0 
-1.5854 0 1 
-2.1902 0 1 
-9.9397 0 1 
-10.307 1 0 
0.50984 1 0 
3.5856 1 0 
13.308 0 1 
6.0242 0 1 
0.065377 0 1 
-0.91749 0 1 
-5.3128 0 1 
-16.646 1 0 
0.30181 1 0 
5.208 1 0 
12.597 0 1 
6.2411 0 1 
3.4516 1 0 
9.2123 1 0 
10.969 0 1 
2.6735 1 0 
4.0469 1 0 
13.249 0 1 
6.0189 0 1 
0.91442 1 0 
2.1179 1 0 
10.796 0 1 
9.0952 0 1 
-1.5424 0 1 
-5.9509 0 1 
-13.973 1 0 
-3.7085 1 0 
-1.8529 0 1 
-6.7556 0 1 
-14.314 1 0 
-1.3348 1 0 
1.1897 1 0 
5.5852 1 0 
15.729 0 1 
1.0872 0 1 
-2.8086 0 1 
-10.341 1 0 
-9.748 1 0 
-1.157 0 1 
-1.1996 0 1 
-6.0464 0 1 
-15.635 1 0 
0.024445 1 0 
4.2931 1 0 
12.642 0 1 
6.6433 0 1 
2.1217 1 0 
5.7245 1 0 
14.663 0 1 
2.8928 0 1 
0.2915 1 0 
0.77443 1 0 
4.9325 1 0 
17.272 0 1 
-0.72233 0 1 
-5.9901 0 1 
-12.231 1 0 
-6.1383 1 0 
-4.6139 0 1 
-10.907 1 0 
-8.6508 1 0 
-3.5611 0 1 
-7.5394 0 1 
-12.562 1 0 
-3.6672 0 1 
-3.9325 0 1 
-12.121 1 0 
-7.425 1 0 
-1.7189 0 1 
-4.0679 0 1 
-14.48 1 0 
-4.4699 1 0 
0.50081 1 0 
2.7006 1 0 
12.998 0 1 
6.3494 0 1 
-1.8383 0 1 
-6.7038 0 1 
-13.749 1 0 
-2.8609 1 0 
-1.5942 0 1 
-6.376 0 1 
-14.875 1 0 
-1.0184 1 0 
2.1572 1 0 
8.9489 1 0 
11.613 0 1 
0.60339 0 1 
-1.1439 0 1 
-5.774 0 1 
-15.821 1 0 
-0.38944 1 0 
3.7995 1 0 
12.078 0 1 
7.4668 0 1 
1.7853 1 0 
4.2416 1 0 
14.581 0 1 
4.2752 0 1 
-0.37715 0 1 
-2.2226 0 1 
-11.592 1 0 
-8.0335 1 0 
1.9272 1 0 
6.7921 1 0 
13.431 0 1 
3.3354 0 1 
2.4895 1 0 
9.1626 1 0 
11.306 0 1 
0.90969 0 1 
-0.23068 0 1 
-1.3415 0 1 
-8.9109 0 1 
-11.561 1 0 
2.8998 1 0 
8.101 1 0 
11.483 0 1 
4.6432 1 0 
6.0237 1 0 
12.594 0 1 
5.7749 0 1 
4.1218 1 0 
10.645 0 1 
9.1247 0 1 
2.9776 1 0 
6.1006 1 0 
13.799 0 1 
3.852 0 1 
2.2134 1 0 
7.8814 1 0 
12.936 0 1 
1.2339 0 1 
-0.39344 0 1 
-2.1344 0 1 
-12.465 1 0 
-6.7697 1 0 
3.1543 1 0 
8.9584 1 0 
10.977 0 1 
3.6333 1 0 
5.6126 1 0 
13.35 0 1 
5.0638 0 1 
2.8447 1 0 
8.7795 1 0 
11.665 0 1 
1.8943 1 0 
1.8985 1 0 
8.4284 1 0 
12.377 0 1 
-0.059928 0 1 
-3.0333 0 1 
-11.903 1 0 
-7.7927 1 0 
-0.22193 1 0 
0.85915 1 0 
4.808 1 0 
16.877 0 1 
0.34406 0 1 
-4.6997 0 1 
-12.267 1 0 
-6.9065 1 0 
-3.1238 0 1 
-8.058 0 1 
-12.322 1 0 
-2.7803 0 1 
-3.0439 0 1 
-11.224 1 0 
-8.6472 1 0 
-0.64294 1 0 
-0.17574 0 1 
-0.88409 0 1 
-6.3385 0 1 
-15.72 1 0 
2.4155 1 0 
7.5015 1 0 
11.522 0 1 
5.5534 1 0 
6.1989 1 0 
11.936 0 1 
6.5261 0 1 
4.9062 1 0 
10.842 0 1 
8.6056 0 1 
3.9905 1 0 
8.2142 1 0 
11.759 0 1 
3.8848 1 0 
5.098 1 0 
13.022 0 1 
5.8666 0 1 
2.708 1 0 
7.8472 1 0 
12.733 0 1 
2.2331 0 1 
1.733 1 0 
7.4325 1 0 
13.698 0 1 
0.35962 0 1 
-2.6496 0 1 
-10.689 1 0 
-9.3313 1 0 
-0.36353 1 0 
0.90996 1 0 
4.9148 1 0 
16.687 0 1 
0.51173 0 1 
-4.3668 0 1 
-12.157 1 0 
-7.1809 1 0 
-2.7222 0 1 
-6.9542 0 1 
-13.519 1 0 
-2.8495 1 0 
-1.8649 0 1 
-7.4343 0 1 
-13.62 1 0 
-0.742 1 0 
1.83 1 0 
8.2044 1 0 
12.658 0 1 
0.23108 0 1 
-2.4718 0 1 
-10.476 1 0 
-9.6075 1 0 
-0.03908 1 0 
1.9325 1 0 
9.3651 1 0 
11.085 0 1 
-0.68418 0 1 
-4.1647 0 1 
-13.719 1 0 
-5.3815 1 0 
-0.69167 0 1 
-1.5612 0 1 
-8.6392 0 1 
-12.095 1 0 
1.5174 1 0 
6.052 1 0 
13.427 0 1 
4.4402 0 1 
2.9664 1 0 
9.5619 1 0 
10.709 0 1 
1.6376 1 0 
1.9322 1 0 
8.8527 1 0 
11.798 0 1 
-0.34127 0 1 
-3.5153 0 1 
-12.877 1 0 
-6.5616 1 0 
-0.38203 1 0 
-0.044818 0 1 
-0.20767 0 1 
-1.5806 0 1 
-12.247 1 0 
-6.4434 1 0 
5.2161 1 0 
9.9215 0 1 
8.9125 0 1 
5.8194 1 0 
9.2383 1 0 
9.8631 0 1 
5.6336 1 0 
8.2662 1 0 
10.839 0 1 
5.6985 1 0 
7.1425 1 0 
11.543 0 1 
6.1569 0 1 
6.0003 1 0 
11.51 0 1 
7.2214 0 1 
4.994 1 0 
10.353 0 1 
9.1189 0 1 
4.3145 1 0 
8.1637 1 0 
11.642 0 1 
4.2965 1 0 
5.6037 1 0 
12.841 0 1 
5.7741 0 1 
3.4654 1 0 
9.5969 1 0 
10.531 0 1 
2.4948 1 0 
4.0305 1 0 
13.424 0 1 
5.8075 0 1 
0.70388 1 0 
1.4463 1 0 
7.9992 1 0 
13.05 0 1 
-1.3195 0 1 
-5.7905 0 1 
-13.401 1 0 
-4.7525 1 0 
-2.9277 0 1 
-9.2221 0 1 
-11.124 1 0 
-1.7757 0 1 
-2.0001 0 1 
-8.9647 0 1 
-11.64 1 0 
0.22832 1 0 
3.2042 1 0 
12.407 0 1 
7.1622 0 1 
0.14534 0 1 
-0.93261 0 1 
-5.2593 0 1 
-16.612 1 0 
0.07528 1 0 
4.9214 1 0 
12.549 0 1 
6.4632 0 1 
3.1473 1 0 
8.4361 1 0 
11.926 0 1 
2.6074 1 0 
3.1145 1 0 
11.578 0 1 
8.2006 0 1 
0.5197 0 1 
-0.042898 0 1 
-0.32036 0 1 
-2.3832 0 1 
-15.825 1 0 
-2.5633 1 0 
5.7296 1 0 
10.714 0 1 
7.9768 0 1 
5.6684 1 0 
10.036 0 1 
9.1285 0 1 
5.2397 1 0 
8.8625 1 0 
10.538 0 1 
5.1023 1 0 
7.3674 1 0 
11.794 0 1 
5.4726 1 0 
5.8014 1 0 
11.997 0 1 
6.7418 0 1 
4.4458 1 0 
10.268 0 1 
9.4412 0 1 
3.6267 1 0 
6.9913 1 0 
12.918 0 1 
4.0512 0 1 
3.7496 1 0 
11.495 0 1 
8.219 0 1 
1.8503 1 0 
3.9893 1 0 
14.181 0 1 
4.8723 0 1 
-0.24436 0 1 
-1.808 0 1 
-9.8386 0 1 
-10.365 1 0 
1.698 1 0 
6.305 1 0 
13.526 0 1 
3.9653 0 1 
2.7324 1 0 
9.3405 1 0 
11.033 0 1 
1.3148 0 1 
0.93658 1 0 
4.5691 1 0 
16.627 0 1 
1.1267 0 1 
-3.8753 0 1 
-11.554 1 0 
-8.0511 1 0 
-2.4271 0 1 
-5.6314 0 1 
-14.378 1 0 
-3.4954 1 0 
-1.0247 0 1 
-3.6742 0 1 
-15.311 1 0 
-3.514 1 0 
2.3022 1 0 
8.2392 1 0 
12.303 0 1 
2.0017 0 1 
1.6482 1 0 
7.2891 1 0 
13.916 0 1 
0.23211 0 1 
-3.0083 0 1 
-11.454 1 0 
-8.3524 1 0 
-0.59873 1 0 
-0.15 0 1 
-0.7538 0 1 
-5.4757 0 1 
-17.006 1 0 
2.0048 1 0 
7.1998 1 0 
11.543 0 1 
5.8942 1 0 
6.0979 1 0 
11.7 0 1 
6.9117 0 1 
4.9781 1 0 
10.589 0 1 
8.8623 0 1 
4.1974 1 0 
8.2558 1 0 
11.619 0 1 
4.12 1 0 
5.483 1 0 
12.956 0 1 
5.7065 0 1 
3.2155 1 0 
9.1488 1 0 
11.12 0 1 
2.3267 1 0 
3.2282 1 0 
12.162 0 1 
7.4697 0 1 
0.28466 0 1 
-0.56029 0 1 
-3.228 0 1 
-16.293 1 0 
-2.3062 1 0 
4.4114 1 0 
11.148 0 1 
8.2737 0 1 
3.7079 1 0 
8.0761 1 0 
12.023 0 1 
3.5888 1 0 
4.4779 1 0 
12.849 0 1 
6.3757 0 1 
2.0142 1 0 
5.5752 1 0 
14.808 0 1 
2.8531 0 1 
0.017381 0 1 
-0.41372 0 1 
-2.6955 0 1 
-15.935 1 0 
-2.6256 1 0 
5.0817 1 0 
10.995 0 1 
8.0822 0 1 
4.7507 1 0 
9.4668 1 0 
10.18 0 1 
4.3379 1 0 
7.2057 1 0 
12.353 0 1 
4.7468 1 0 
4.884 1 0 
12.211 0 1 
6.9918 0 1 
3.1444 1 0 
8.0385 1 0 
12.331 0 1 
2.8222 1 0 
3.1014 1 0 
11.322 0 1 
8.5204 0 1 
0.69358 0 1 
0.38057 1 0 
2.0193 1 0 
12.659 0 1 
6.4026 0 1 
-3.7905 0 1 
-9.6302 0 1 
-10.015 1 0 
-4.1554 0 1 
-7.1722 0 1 
-12.483 1 0 
-4.5634 0 1 
-4.6329 0 1 
-12.167 1 0 
-7.1518 1 0 
-2.8174 0 1 
-7.2002 0 1 
-13.266 1 0 
-2.8299 1 0 
-2.1346 0 1 
-8.4324 0 1 
-12.31 1 0 
-0.60685 1 0 
1.4523 1 0 
7.0053 1 0 
14.325 0 1 
0.10893 0 1 
-3.4329 0 1 
-12.106 1 0 
-7.5099 1 0 
-0.98512 0 1 
-1.7213 0 1 
-8.8499 0 1 
-11.803 1 0 
1.0814 1 0 
5.1644 1 0 
13.827 0 1 
4.7026 0 1 
1.8353 1 0 
6.0402 1 0 
14.841 0 1 
1.9937 0 1 
-0.75153 0 1 
-3.6609 0 1 
-15.605 1 0 
-3.1396 1 0 
2.7352 1 0 
9.2177 1 0 
11.055 0 1 
2.1425 1 0 
2.8809 1 0 
11.498 0 1 
8.3014 0 1 
0.037854 0 1 
-1.5787 0 1 
-8.1844 0 1 
-12.764 1 0 
0.83668 1 0 
4.8211 1 0 
13.632 0 1 
5.1859 0 1 
1.7521 1 0 
5.4631 1 0 
15.136 0 1 
2.4459 0 1 
-0.76132 0 1 
-3.659 0 1 
-15.418 1 0 
-3.3789 1 0 
2.4709 1 0 
8.6366 1 0 
11.8 0 1 
2.0452 1 0 
2.1221 1 0 
9.135 1 0 
11.4 0 1 
-0.012669 0 1 
-2.6051 0 1 
-11.125 1 0 
-8.7666 1 0 
0.20083 1 0 
2.4099 1 0 
11.139 0 1 
8.718 0 1 
-0.82514 0 1 
-4.1621 0 1 
-14.212 1 0 
-4.7659 1 0 
-0.051804 1 0 
0.67607 1 0 
4.1048 1 0 
17.352 0 1 
0.48821 0 1 
-5.1966 0 1 
-11.981 1 0 
-6.9697 1 0 
-4.0457 0 1 
-9.6054 0 1 
-10.323 1 0 
-3.3621 0 1 
-5.8172 0 1 
-13.559 1 0 
-4.5695 1 0 
-2.6536 0 1 
-8.6528 0 1 
-11.876 1 0 
-1.6116 1 0 
-1.1257 0 1 
-5.2649 0 1 
-16.197 1 0 
-0.80083 1 0 
3.5972 1 0 
11.584 0 1 
8.0992 0 1 
1.8461 1 0 
4.0482 1 0 
14.265 0 1 
4.7489 0 1 
-0.25135 0 1 
-1.8148 0 1 
-9.897 0 1 
-10.281 1 0 
1.7319 1 0 
6.3693 1 0 
13.489 0 1 
3.9371 0 1 
2.7876 1 0 
9.512 1 0 
10.811 0 1 
1.3141 0 1 
1.0594 1 0 
5.1885 1 0 
16.365 0 1 
0.61743 0 1 
-3.9531 0 1 
-11.961 1 0 
-7.5576 1 0 
-2.191 0 1 
-5.3395 0 1 
-14.629 1 0 
-3.4292 1 0 
-0.48328 0 1 
-1.432 0 1 
-8.5077 0 1 
-12.268 1 0 
1.9684 1 0 
6.8322 1 0 
12.793 0 1 
4.4368 0 1 
4.1037 1 0 
11.696 0 1 
7.8921 0 1 
2.3215 1 0 
5.4692 1 0 
14.494 0 1 
3.4986 0 1 
0.77954 1 0 
2.6539 1 0 
13.339 0 1 
5.8915 0 1 
-2.3625 0 1 
-7.8778 0 1 
-12.486 1 0 
-2.8351 0 1 
-2.9669 0 1 
-10.973 1 0 
-8.966 1 0 
-0.6637 1 0 
-0.11521 0 1 
-0.53784 0 1 
-3.9232 0 1 
-18.168 1 0 
0.6036 1 0 
6.4886 1 0 
11.444 0 1 
6.6963 0 1 
5.7669 1 0 
